Fecha;VLP
"1/1/2018";111,004263813
"2/1/2018";111,000698616
"3/1/2018";111,006775534
"4/1/2018";110,998893511
"5/1/2018";110,998990788
"6/1/2018";111,000577293
"7/1/2018";111,002163037
"8/1/2018";110,995110614
"9/1/2018";110,993522737
"10/1/2018";110,992780425
"11/1/2018";110,977738058
"12/1/2018";110,978459403
"13/1/2018";110,980073707
"14/1/2018";110,981762038
"15/1/2018";110,984711765
"16/1/2018";110,980848335
"17/1/2018";110,9782809
"18/1/2018";110,969729033
"19/1/2018";110,963731119
"20/1/2018";110,965365006
"21/1/2018";110,967000031
"22/1/2018";110,964937483
"23/1/2018";110,961998573
"24/1/2018";110,960986403
"25/1/2018";110,954290831
"26/1/2018";110,947128483
"27/1/2018";110,949443246
"28/1/2018";110,951767403
"29/1/2018";110,94814354
"30/1/2018";110,952385116
"31/1/2018";110,951948727
"1/2/2018";110,946765575
"2/2/2018";110,680925468
"3/2/2018";110,684055388
"4/2/2018";110,68719048
"5/2/2018";110,686048574
"6/2/2018";110,945044156
"7/2/2018";110,947681328
"8/2/2018";110,935486317
"9/2/2018";110,929478471
"10/2/2018";110,932491221
"11/2/2018";110,935510121
"12/2/2018";110,929938772
"13/2/2018";110,923667249
"14/2/2018";110,922095648
"15/2/2018";110,913972028
"16/2/2018";110,916534995
"17/2/2018";110,919819172
"18/2/2018";110,923094863
"19/2/2018";110,918939414
"20/2/2018";110,918891409
"21/2/2018";110,918418766
"22/2/2018";110,903108719
"23/2/2018";110,914539941
"24/2/2018";110,917253154
"25/2/2018";110,919899054
"26/2/2018";110,919938887
"27/2/2018";110,917156031
"28/2/2018";110,916519118
"1/3/2018";110,909541705
"2/3/2018";110,907308007
"3/3/2018";110,909932583
"4/3/2018";110,91256134
"5/3/2018";110,905994337
"6/3/2018";110,90750242
"7/3/2018";110,909087532
"8/3/2018";110,903485871
"9/3/2018";110,903665766
"10/3/2018";110,905951918
"11/3/2018";110,908259886
"12/3/2018";110,906112906
"13/3/2018";110,904361033
"14/3/2018";110,899810638
"15/3/2018";110,886673943
"16/3/2018";110,889125948
"17/3/2018";110,891594957
"18/3/2018";110,894084287
"19/3/2018";110,894162102
"20/3/2018";110,889699393
"21/3/2018";110,888022998
"22/3/2018";110,879673282
"23/3/2018";110,877500537
"24/3/2018";110,88006839
"25/3/2018";110,882553906
"26/3/2018";110,872436228
"27/3/2018";110,875344251
"28/3/2018";110,866057934
"29/3/2018";110,866297908
"30/3/2018";110,868868914
"31/3/2018";110,871415544
"1/4/2018";110,873960398
